TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
77029,"9819 Mimbrough St, Houston, TX 77029","Houston, TX 77029",Pending,275000,3,2.5,1802
77029,"9937 Lanewell St, Houston, TX 77029","Houston, TX 77029",Pending,249955,3,2.5,1626
77029,"9931 Lanewell St, Houston, TX 77029","Houston, TX 77029",Pending,249955,3,2.5,1626
77029,"9943 Lanewell St, Houston, TX 77029","Houston, TX 77029",Pending,249955,3,2.5,1626
77029,"9929 Lanewell St, Houston, TX 77029","Houston, TX 77029",Pending,249955,3,2.5,1626
77029,"229 DE Haven St, Houston, TX 77029","Houston, TX 77029",For Sale,77900,,,
77029,"435 Mascot St, Houston, TX 77029","Houston, TX 77029",For Sale,220000,4,2,1504
77029,"9815 Turnbow St, Houston, TX 77029","Houston, TX 77029",For Sale,65000,,,
77029,"Armstrong St, Houston, TX 77029","Houston, TX 77029",Pending,52000,,,
77029,"Fillmore St Lots 23 & 24, Houston, TX 77029","Houston, TX 77029",Pending,55000,,,
77029,"Calloway St, Houston, TX 77029","Houston, TX 77029",For Sale,50999,,,
77029,"9834 Lanewell St, Houston, TX 77029","Houston, TX 77029",Pending,120000,,,
77029,"230 Mississippi St, Houston, TX 77029","Houston, TX 77029",Pending,115000,3,1,1208
77029,"1413 Sheryl St, Jacinto City, TX 77029","Jacinto City, TX 77029",Pending,183500,3,1,1066
77029,"9707 Garcroft St, Houston, TX 77029","Houston, TX 77029",Pending,65000,,,
77029,"8639 Tilgham St, Houston, TX 77029","Houston, TX 77029",For Sale,98900,2,1,1080
38343,"7801 Beau Beth Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,359000,4,2.5,2999
38343,"157 and 167 Saddle Tree Dr, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,430000,4,3,2521
38343,"501 Craddock St, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,69995,3,1,1754
38343,"1952 Stallings Rd, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,230000,3,2,1600
38343,"32 Jim Jackson Rd, Humboldt, TN 38343","Humboldt, TN 38343",For Sale,314900,4,2,2356
