Address1,Address2,Availability,Price,Beds,Baths,Sqft
,,For Sale,154000,,,
"619 Hickory Wood Ct, Henderson, KY 42420","Henderson, KY 42420",For Sale,349900,3,2,1634
"6105 Kendrick Mews, North Richland Hills, TX 76180","North Richland Hills, TX 76180",For Sale,533061,3,2.5,1916
"Sh 136, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,54998,,,
"4624 Navajo St Apt 9, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Pending,439900,3,3,1968
"1027 St Clair, Jacksonville, FL 32254","Jacksonville, FL 32254",Pending,299000,5,3,2200
"2875 N Eastern St, Amarillo, TX 79108","Amarillo, TX 79108",Pending,150000,,,
"1303 Center St, Hope, AR 71801","Hope, AR 71801",For Sale,89500,2,1,1056
"1830 Pleasant Valley Pl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,225000,4,2,1576
"7140 Oxbo Cir, Cumming, GA 30040","Cumming, GA 30040",Pending,875000,4,3.5,3184
"5605 Copper Creek Pass, Cumming, GA 30040","Cumming, GA 30040",Pending,1175000,6,5.5,6430
"14356 Ashland Rd, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,200000,4,2,1411
"Oakridge Trl, Eufaula, AL 36027","Eufaula, AL 36027",For Sale,125000,,,
"408 Friendly Ln, Denison, IA 51442","Denison, IA 51442",Contingent,92500,2,2,792
"208 Venice Ave, Flower Mound, TX 75028","Flower Mound, TX 75028",For Sale,1660,3,2.5,1660
"1436 S 39th St, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,129900,3,2,1104
"7204 Packard Ave, Warren, MI 48091","Warren, MI 48091",For Sale,60000,3,1,770
"4893 Gateway Dr, Claremont, NC 28610","Claremont, NC 28610",For Sale,39900,,,
"65 Western Pine Way, Sanford, NC 27332","Sanford, NC 27332",Pending,407550,4,3.5,2721
"7432 Cheshire Ct, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,220000,2,2,1326
"201 Front St, Easley, SC 29640","Easley, SC 29640",For Sale,149900,3,1.5,
"5036 Nadine Dr, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,235000,3,1,1284
"484 Maple Circle Dr, Springdale, OH 45246","Springdale, OH 45246",Pending,200000,3,2.5,1567
"1924 Creekview, Seguin, TX 78155","Seguin, TX 78155",For Sale,458900,3,3,1910
"100 Hunters Crest Cir, Vicksburg, MS 39183","Vicksburg, MS 39183",For Sale,270000,3,2,2141
"Plan 1618 - ARIA, High Point CommunityHanceville, AL","Hanceville, AL",For Sale,From259990,3,2,1683
"Windjammer Lot 118, Rogers, AR 72756","Rogers, AR 72756",Pending,103200,,,
"5504 S 124th St, Omaha, NE 68137","Omaha, NE 68137",For Sale,495000,3,4,3137
"GRAMERCY II Plan, Arcadia - Vineyards Condos CommunityAlexandria, KY","Alexandria, KY",For Sale,Contact For Price,3,2,1759
"92 Sawtooth Acorn Ln, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,2290000,4,3,3428
"514 Charles St, Monroe, NC 28112","Monroe, NC 28112",Contingent,169900,4,1,1412
"1946 Youngton Rd, Vicksburg, MS 39183","Vicksburg, MS 39183",For Sale,490000,,,
"7201 Jackson Ave, Warren, MI 48091","Warren, MI 48091",For Sale,115000,2,1,1050
"2102 S M St, Fort Smith, AR 72901","Fort Smith, AR 72901",For Sale,154900,2,1,1516
"40 Pine Warbler Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,192100,,,
"98.6 Acres /-North of County Road 2501 and Sw of County Road 2091, Coal Hill, AR 72830","Coal Hill, AR 72830",Pending,189900,,,
"55 Peony Rd, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,375000,3,2,1328
"100 D St, Sergeant Bluff, IA 51054","Sergeant Bluff, IA 51054",For Sale,183900,3,1.5,1680
"3549 Sky Pl, Seguin, TX 78155","Seguin, TX 78155",For Sale,274975,4,2,1459
"12438 Morgans Glen Cir, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,439000,3,2.5,2070
"408 Burlington Ave, Logansport, IN 46947","Logansport, IN 46947",For Sale,146900,2,1,2128
"9389 96th Ave, Zeeland, MI 49464","Zeeland, MI 49464",Pending,250000,3,1,1092
"Buckeye Plan, Bel Air Village CommunitySherman, TX","Sherman, TX",For Sale,From380990,3,3,2430
"268 Wheel Rd, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,549000,3,3,2400
"721 Mapleview Dr, Shelbyville, TN 37160","Shelbyville, TN 37160",Contingent,369900,3,2,1512
"627 Indigo Dr, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,510000,4,2.5,
"4815 Waller St, Jacksonville, FL 32254","Jacksonville, FL 32254",For Sale,399900,14,6,1281
