TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
42101,367 Upper Stone Ave Apt C,"Bowling Green, KY 42101",Apartment,790,1,1,800
42101,705 Village Creek Dr Apt A,"Bowling Green, KY 42101",Other,1550,3,2,1327
42101,6068 Louisville Rd Apt 56,"Bowling Green, KY 42101",Apartment,985,2,2,1052
42101,348 Upper Stone Ave Apt E,"Bowling Green, KY 42101",Apartment,900,2,2,1200
42101,343 Upper Stone Ave Apt F,"Bowling Green, KY 42101",Apartment,790,1,1,800
42101,2175 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
42101,2175 Prospector Ct,"Bowling Green, KY 42101",Apartment,1100,2,2,980
42101,271 Spring Creek Ave Apt C,"Bowling Green, KY 42101",Apartment,1100,2,2,969
42101,271 Spring Creek Ave Apt B,"Bowling Green, KY 42101",Apartment,1250,2,2,1214
42101,6068 Louisville Rd Apt 56,"Bowling Green, KY 42101",Apartment,985,2,2,1052
42101,271 Spring Creek Ave Apt C,"Bowling Green, KY 42101",Apartment,1100,2,2,969
42101,6068 Louisville Rd Apt 50,"Bowling Green, KY 42101",Apartment,985,2,2,1052
42101,2363 Foxridge Ct Apt 1021,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,271 Spring Creek Ave Apt D,"Bowling Green, KY 42101",Apartment,1100,2,2,969
42101,210 Creekwood Ave Apt B,"Bowling Green, KY 42101",Apartment,1250,2,2,1214
42101,2363 Foxridge Ct Apt 321,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,5002 Worth Way,"Bowling Green, KY 42101",Apartment,750,1,1,633
42101,2363 Foxridge Ct Apt 612,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,2363 Foxridge Ct Apt 311,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,156 Enterprise Ct,"Bowling Green, KY 42101",Apartment,900,2,1,827
42101,156 Enterprise Ct,"Bowling Green, KY 42101",Apartment,1000,2,1,827
42101,6002 Russellville Rd Apt 312,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,2363 Foxridge Ct Apt 323,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,2363 Foxridge Ct Apt 313,"Bowling Green, KY 42101",Apartment,1025,2,2,977
42101,864 Fairview Ave,"Bowling Green, KY 42101",Apartment,1250,2,2,1000
42101,2630 Oriole St,"Bowling Green, KY 42101",Apartment,1300,3,2,1680
42101,2252 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957
42101,2252 Hickory St,"Bowling Green, KY 42101",Apartment,1100,2,2,957
42101,2183 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
42101,2183 Prospector Ct,"Bowling Green, KY 42101",Apartment,1100,2,2,980
42101,2191 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
42101,2191 Prospector Ct,"Bowling Green, KY 42101",Apartment,950,1,1,561
42101,491 Cornerstone Ave,"Bowling Green, KY 42101",Apartment,1050,2,2,957
42101,491 Cornerstone Ave,"Bowling Green, KY 42101",Apartment,1100,2,2,957
42101,144 Enterprise Building Ct # 6,"Bowling Green, KY 42101",Apartment,795,1,1,
42101,1624 S Sunrise Dr,"Bowling Green, KY 42101",Apartment,700,1,1,565
42101,233 Hanover Ct,"Bowling Green, KY 42101",Apartment,1375,4,2,1580
42101,6002 Russellville Rd Apt 223,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 622,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 621,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd Apt 521,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd Apt 224,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 524,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 624,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,6002 Russellville Rd # 623,"Bowling Green, KY 42101",Apartment,825,1,1,625
42101,260 Walnut Creek Dr Apt B09,"Bowling Green, KY 42101",Apartment,875,2,2,936
74728,100 Abby Ln,"Broken Bow, OK 74728",Apartment,718,3,2,1050
75633,212 Myrle St,"Carthage, TX 75633",House,1600,3,2,1650
75633,101 Senior Ave,"Carthage, TX 75633",Apartment,492,1,1,
75633,1100 S Adams St,"Carthage, TX 75633",Apartment,693,2,1,
62232,125 Idlerun Dr,"Collinsville, IL 62234",Apartment,850,1 - 3,1 - 2,700 - 1000
62232,35 Roselawn Ave,"Fairview Heights, IL 62208",House,1500,3,2,1024
62232,806 Cedar St Unit 806A,"Collinsville, IL 62234",Apartment,750,2,1,
62232,2111 N 59th St,"Washington Park, IL 62204",House,650,2,1,
62232,320 Ofarrell St,"Collinsville, IL 62234",House,1575,4,2.5,2299
62232,818 Applewood Creek Dr,"Fairview Heights, IL 62208",House,2995,3,3,2400
62232,822 Applewood Creek Dr,"Fairview Heights, IL 62208",House,2995,3,3,2400
62232,212 S Chestnut St Apt 3,"Collinsville, IL 62234",Apartment,750,1,1,720
62232,204 St Louis Rd,"Collinsville, IL 62234",Apartment,650,1,1,600
62232,218 S Morrison Ave Unit A,"Collinsville, IL 62234",Townhome,925,1,1,550
62232,540 Highland View Dr,"O'Fallon, IL 62269",House,2795,4,2.5,2104
75935,705 Clifford St,"Center, TX 75935",Apartment,525,2,1,
39183,1215 Adams St,"Vicksburg, MS 39183",Other,1400,1,1,
39183,2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,849,1,1,560
39183,2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,1099,3,2,1100
39183,4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1145,1,1,896
39183,4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1345,3,2,1448
39183,4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,980,1,1,900
39183,4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1250,3,2,1100
60641,4050 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1250,Studio+,1,445
60641,4325 N Cicero Ave,"Chicago, IL 60641",Condo/Townhome,2570,2,2,1500
60641,,,House,1575,2,1,1100
60641,5325 W Montrose Ave Apt 2,"Chicago, IL 60641",Apartment,1950,3,1,1200
60641,3925 N Keeler Ave,"Chicago, IL 60641",Apartment,1450,1 - 2,1,845
60641,3404 N Lavergne Ave Unit 2F,"Chicago, IL 60641",Apartment,3500,5,2,1700
