Address1,Address2,Style,Price,Beds,Baths,Sqft
6068 Louisville Rd Apt 50,"Bowling Green, KY 42101",Apartment,985,2,2,1052
1961 Castle Hill Dr,"Jackson, MS 39204",House,1050,4,2,1724
2746 Meadow Gate Ln,"Dallas, TX 75237",House,1595,3,2,1329
1408 Christy Dr Apt D,"Springdale, AR 72764",Other,950,2,1.5,1088
556 Emmett Ave Apt 40,"Bowling Green, KY 42101",Apartment,845,1,1,765
101 E Walnut St Ste 213,"Rogers, AR 72756",Condo,1595,1,1,777
2960 Feiger Ln,"Traverse City, MI 49684",Apartment,719,4,1,
606 W Tenth St,"Traverse City, MI 49684",House,2550,3,2,1650
5755 Hendrix Rd,"Cumming, GA 30040",House,2800,5,3,2562
501 Eric Ave,"Bowling Green, KY 42101",Apartment,625,1,1,555
3058 N Kostner Ave,"Chicago, IL 60641",Apartment,1850,3,1,1200
5425 W Montrose Ave Unit 5425S3,"Chicago, IL 60641",Apartment,1250,1,1,
4938 Worth Way,"Bowling Green, KY 42101",Apartment,825,1,1,633
5107 W Montrose Ave Unit 2W,"Chicago, IL 60641",Condo,1900,3,1,
864 Fairview Ave,"Bowling Green, KY 42101",Apartment,1250,2,2,1000
3453 N Lowell Ave Unit 1,"Chicago, IL 60641",Apartment,2100,3,1,1050
119 S 8th St,"Council Bluffs, IA 51501",Apartment,750,2,1,
3801 Gannon Ln,"Dallas, TX 75237",Condo/Townhome,1122,2,2,835
4250 W Nelson St Unit 4250-2,"Chicago, IL 60641",Apartment,1070,2,1,
4179 W Belmont Ave Unit 4177-204,"Chicago, IL 60641",Apartment,3400,3,2,1446
4169 4169-4175 W Cullom,"Chicago, IL 60641",Apartment,2200,3,2,1200
2605 W Olive St,"Rogers, AR 72756",Apartment,1300,2,2,1100
2019 E Eucalyptus Ave,"Enid, OK 73701",House,725,2,1,
3302 N Dixieland Rd,"Rogers, AR 72756",Apartment,1597,3,3.5,1880
5141 W Roscoe St Unit 1R,"Chicago, IL 60641",Apartment,1395,2,1,850
4715 W Cornelia Ave,"Chicago, IL 60641",Apartment,1475,2,1,
3070 Centerglen Ln,"Cumming, GA 30040",House,2400,4,2.5,2714
5233 W Cullom Ave Unit 2,"Chicago, IL 60641",Apartment,1750,2,1,1200
1210D Sw 11th,"Amarillo, TX 79102",House,600,1,1,
1945 Sandra St,"Bowling Green, KY 42101",House,850,2,1.5,884
4003 N Kildare Ave Apt 308,"Chicago, IL 60641",House,1100,1,1,680
2252 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957
1519 Calgary Way,"Bowling Green, KY 42101",House,1750,3,2,1446
5115 W Montrose Ave Apt 3A,"Chicago, IL 60641",Apartment,1250,1,1,700
606 Virginia St Apt 204,"Springdale, AR 72764",House,975,3,1,740
4350 N Cicero Ave,"Chicago, IL 60641",Apartment,1105,1,1,560
7272 Marvin D Love Fwy,"Dallas, TX 75237",Apartment,850,1,1,558
5240 W Cullom Ave Unit 1,"Chicago, IL 60641",Apartment,1895,2,1,1050
4130 N Keystone204 Unit 204,"Chicago, IL 60641",Apartment,825,Studio,1,
5945 Willow Oak Pass,"Cumming, GA 30040",House,3100,5,4,3426
109 E 18th St,"Russellville, AR 72801",Apartment,625,2,1,
1235 Chesterdale Dr,"Cincinnati, OH 45246",Apartment,1033,1,1,740
16698 Cypress Ln,"Rogers, AR 72756",Other,2800,2,2,1440
2837 N Long Ave Unit Bs,"Chicago, IL 60641",Condo,1200,1,1,500
2732 Meadow Gate Ln,"Dallas, TX 75237",House,1785,3,2,
2948 N Laramie Ave Unit 9,"Chicago, IL 60641",Apartment,1195,1,1,850
377 Cedar Run St,"Bowling Green, KY 42101",House,1950,3,2,
3404 N Lavergne Ave Unit 2R,"Chicago, IL 60641",Apartment,3200,4,2,
3250 N Pulaski Rd Apt 203,"Chicago, IL 60641",Apartment,1100,Studio,1,350
6405 Ivey Creek Cir,"Cumming, GA 30040",House,2800,3,2.5,2167
4005 N Kildare Ave Apt 107,"Chicago, IL 60641",House,1100,1,1,550
