TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
61257,"315 N 10th St, Clinton, IA 52732","Clinton, IA 52732",Pending,329900.0,4.0,3.5,3540.0,Clinton,IA,52732,41.90126,-90.25083,19045,Clinton
61257,"803 North St, Thomson, IL 61285","Thomson, IL 61285",For Sale,79900.0,1.0,1.0,1005.0,Thomson,IL,61285,41.98307,-90.0811,17015,Carroll
61257,"108 N College Ave, Geneseo, IL 61254","Geneseo, IL 61254",For Sale,126000.0,3.0,2.0,1584.0,Geneseo,IL,61254,41.46692,-90.15551,17073,Henry
61257,"235 Cedar Ln, Sherrard, IL 61281","Sherrard, IL 61281",For Sale,375000.0,3.0,2.5,2368.0,Sherrard,IL,61281,41.3009,-90.51992,17131,Mercer
61257,"5 Blackstone Way, Le Claire, IA 52753","Le Claire, IA 52753",For Sale,440000.0,3.0,2.5,1722.0,Le Claire,IA,52753,41.62544,-90.38989,19163,Scott
61257,"124 W 28th Ave, Coal Valley, IL 61240","Coal Valley, IL 61240",Contingent,330000.0,4.0,3.0,3448.0,Coal Valley,IL,61240,41.42579,-90.4325,17161,Rock Island
61257,"217 E 9th Ave, Colona, IL 61241","Colona, IL 61241",For Sale,199900.0,4.0,2.0,1716.0,Colona,IL,61241,41.48782,-90.31997,17073,Henry
61257,"343 13th Ave, Camanche, IA 52730","Camanche, IA 52730",Pending,154900.0,3.0,1.0,1188.0,Camanche,IA,52730,41.77366,-90.34364,19045,Clinton
61257,"214 N Holmes St, Cambridge, IL 61238","Cambridge, IL 61238",For Sale,164900.0,3.0,2.0,1712.0,Cambridge,IL,61238,41.28727,-90.17647,17073,Henry
61257,"104 N 3rd St, Colona, IL 61241","Colona, IL 61241",Pending,229900.0,4.0,2.5,2495.0,Colona,IL,61241,41.48782,-90.31997,17073,Henry
61257,"17040 Diamond Rd, Fulton, IL 61252","Fulton, IL 61252",For Sale,369900.0,3.0,2.0,1693.0,Fulton,IL,61252,41.8435,-90.12272,17195,Whiteside
61257,"2027 Harrison Dr, Clinton, IA 52732","Clinton, IA 52732",For Sale,104900.0,3.0,1.5,2256.0,Clinton,IA,52732,41.90126,-90.25083,19045,Clinton
61257,"2630 5th Street Ct, East Moline, IL 61244","East Moline, IL 61244",For Sale,230000.0,3.0,2.5,1740.0,East Moline,IL,61244,41.52138,-90.39424,17161,Rock Island
61257,"503 Portland Ave, Morrison, IL 61270","Morrison, IL 61270",Foreclosure,43000.0,4.0,2.0,1785.0,Morrison,IL,61270,41.82971,-89.9656,17195,Whiteside
61257,"3312 66th Ave, Moline, IL 61265","Moline, IL 61265",Pending,49000.0,2.0,1.0,1115.0,Moline,IL,61265,41.48195,-90.48895,17161,Rock Island
61257,"702 S Center St, Geneseo, IL 61254","Geneseo, IL 61254",For Sale,259900.0,4.0,2.5,2744.0,Geneseo,IL,61254,41.46692,-90.15551,17073,Henry
66106,"1109 S 48th Ter, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,285000.0,3.0,2.5,1860.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"4922 Crest Dr, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,175000.0,3.0,1.0,816.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"1109 S 50th Ter, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,170000.0,2.0,1.0,672.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
66106,"2702 S 49th St, Kansas City, KS 66106","Kansas City, KS 66106",For Sale,170000.0,4.0,1.0,1032.0,Kansas City,KS,66106,39.06631,-94.70384,20209,Wyandotte
