TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft,City,State,Zip
74728,807 Dierks St,"Broken Bow, OK 74728",House,1950,3,2,1134.0,Broken Bow,OK,74728
74728,100 Abby Ln,"Broken Bow, OK 74728",Apartment,586,2,1,870.0,Broken Bow,OK,74728
74728,100 Abby Ln,"Broken Bow, OK 74728",Apartment,718,3,2,1050.0,Broken Bow,OK,74728
75633,101 Senior Ave,"Carthage, TX 75633",Apartment,492,1,1,,Carthage,TX,75633
75633,1100 S Adams St,"Carthage, TX 75633",Apartment,693,2,1,,Carthage,TX,75633
62232,8018 Tahoe Rdg,"Caseyville, IL 62232",House,2750,3,2.5,1878.0,Caseyville,IL,62232
62232,311 N Main St Apt 7,"Caseyville, IL 62232",House,775,2,1,785.0,Caseyville,IL,62232
75935,705 Clifford St,"Center, TX 75935",Apartment,525,2,1,,Center,TX,75935
39183,4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1145,1,1,896.0,Vicksburg,MS,39183
39183,4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1345,3,2,1448.0,Vicksburg,MS,39183
39183,1215 Adams St,"Vicksburg, MS 39183",Other,1400,1,1,,Vicksburg,MS,39183
39183,4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,980,1,1,900.0,Vicksburg,MS,39183
39183,4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1250,3,2,1100.0,Vicksburg,MS,39183
39183,2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,849,1,1,560.0,Vicksburg,MS,39183
39183,2501 Culkin Rd,"Vicksburg, MS 39183",Apartment,1099,3,2,1100.0,Vicksburg,MS,39183
60641,4179 W Belmont Ave,"Chicago, IL 60641",Apartment,2700,Studio,1,1155.0,Chicago,IL,60641
60641,4179 W Belmont Ave,"Chicago, IL 60641",Apartment,3400,3,2,1425.0,Chicago,IL,60641
60641,4200 W Belmont Ave,"Chicago, IL 60641",Apartment,2700,Studio,1,1395.0,Chicago,IL,60641
60641,4200 W Belmont Ave,"Chicago, IL 60641",Apartment,4725,4,3.5,2240.0,Chicago,IL,60641
60641,,,House,1250,1,1,,,,
60641,,,House,1600,2,1,,,,
60641,2956 N Pulaski Rd Unit 2,"Chicago, IL 60641",House,2150,2,1,1000.0,Chicago,IL,60641
60641,2948-52 N Laramie-9 2948 ½ N Laramie Unit 3,"Chicago, IL 60641",Condo,1125,1,1,800.0,Chicago,IL,60641
60641,2958 N Pulaski Rd Unit 2,"Chicago, IL 60641",House,2400,3,1,1200.0,Chicago,IL,60641
60641,5344 W Eddy St Apt 2,"Chicago, IL 60641",Condo,1550,2,1,,Chicago,IL,60641
60641,4037 W Nelson St Unit 1,"Chicago, IL 60641",House,2600,3,2,,Chicago,IL,60641
60641,4007 N Kildare Ave Apt 105,"Chicago, IL 60641",House,1000,1,1,500.0,Chicago,IL,60641
