TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip
35950,"44 Whippoorwill Ln, Albertville, AL 35950","Albertville, AL 35950",For Sale,149800.0,3.0,2.0,1412.0,Albertville,AL,35950
35950,"2750 Alabama Highway 205 S, Albertville, AL 35950","Albertville, AL 35950",For Sale,295000.0,5.0,1.0,3718.0,Albertville,AL,35950
35950,"616 E Main St, Albertville, AL 35950","Albertville, AL 35950",For Sale,339500.0,4.0,3.5,3124.0,Albertville,AL,35950
35950,"128 Ivy Park Cir, Albertville, AL 35950","Albertville, AL 35950",For Sale,334900.0,3.0,2.0,2000.0,Albertville,AL,35950
35950,"3863 Nixon Chapel Rd, Albertville, AL 35950","Albertville, AL 35950",For Sale,209000.0,2.0,2.0,784.0,Albertville,AL,35950
35950,"132 Blair Rd, Albertville, AL 35950","Albertville, AL 35950",For Sale,259000.0,4.0,2.0,1770.0,Albertville,AL,35950
35950,"1511 Hickory St, Albertville, AL 35950","Albertville, AL 35950",For Sale,385000.0,4.0,2.5,3130.0,Albertville,AL,35950
35950,"1306 Dan Ave, Albertville, AL 35950","Albertville, AL 35950",For Sale,389800.0,4.0,2.5,2525.0,Albertville,AL,35950
35950,"398 Edmonds Rd, Albertville, AL 35950","Albertville, AL 35950",Contingent,88000.0,2.0,2.0,900.0,Albertville,AL,35950
35950,"209 Sugar Mill Ln, Albertville, AL 35950","Albertville, AL 35950",Contingent,174900.0,3.0,2.0,1234.0,Albertville,AL,35950
35950,"3303 Turnpike Rd, Albertville, AL 35950","Albertville, AL 35950",Contingent,300000.0,4.0,2.5,2568.0,Albertville,AL,35950
35950,"1306 Fulton St, Albertville, AL 35950","Albertville, AL 35950",Contingent,259900.0,3.0,2.0,1620.0,Albertville,AL,35950
35950,"110 Meadowood Ln, Albertville, AL 35950","Albertville, AL 35950",Contingent,219900.0,4.0,3.5,2679.0,Albertville,AL,35950
35950,"101 Jeffery St, Albertville, AL 35950","Albertville, AL 35950",For Sale,189900.0,4.0,2.0,1896.0,Albertville,AL,35950
35950,"412 E Main St, Albertville, AL 35950","Albertville, AL 35950",For Sale,435000.0,5.0,3.0,3928.0,Albertville,AL,35950
35950,"409 Sunset Ave, Albertville, AL 35950","Albertville, AL 35950",For Sale,279500.0,4.0,3.0,2779.0,Albertville,AL,35950
35950,"1796 Highpoint Rd, Albertville, AL 35950","Albertville, AL 35950",Contingent,165000.0,3.0,1.0,1416.0,Albertville,AL,35950
35950,"503 E Main St, Albertville, AL 35950","Albertville, AL 35950",Contingent,349900.0,3.0,3.0,3117.0,Albertville,AL,35950
35950,"402 N Edmondson St, Albertville, AL 35950","Albertville, AL 35950",For Sale,240000.0,3.0,2.0,1750.0,Albertville,AL,35950
35950,"300 E McCord Ave, Albertville, AL 35950","Albertville, AL 35950",For Sale,259500.0,4.0,2.0,2986.0,Albertville,AL,35950
35950,"2593 S Broad St, Albertville, AL 35950","Albertville, AL 35950",Contingent,499000.0,7.0,7.5,6558.0,Albertville,AL,35950
35950,"1200 Dan Ave, Albertville, AL 35950","Albertville, AL 35950",Contingent,249900.0,3.0,2.0,1800.0,Albertville,AL,35950
35950,"412 Hambrick St S, Albertville, AL 35950","Albertville, AL 35950",Contingent,158900.0,3.0,1.0,1230.0,Albertville,AL,35950
35950,"519 E Main St, Albertville, AL 35950","Albertville, AL 35950",For Sale,649900.0,4.0,2.5,4100.0,Albertville,AL,35950
35950,"2591 Alabama Highway 205 S, Albertville, AL 35950","Albertville, AL 35950",For Sale,549900.0,4.0,2.0,2200.0,Albertville,AL,35950
35950,"122 Ivy Park Cir, Albertville, AL 35950","Albertville, AL 35950",For Sale,334900.0,3.0,2.0,2000.0,Albertville,AL,35950
79108,"8200 Western Grove Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,244900.0,5.0,3.0,2128.0,Amarillo,TX,79108
79108,"7613 Loma Vista Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,149900.0,3.0,2.0,1461.0,Amarillo,TX,79108
79108,"11300 Bertrand Rd, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,195000.0,3.0,2.0,1858.0,Amarillo,TX,79108
79108,"16116 FM 2575, Amarillo, TX 79108","Amarillo, TX 79108",Pending,289900.0,3.0,2.0,1743.0,Amarillo,TX,79108
79108,"2418 Brixton Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,89000.0,3.0,2.0,1680.0,Amarillo,TX,79108
79108,"4818 Morning Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,285900.0,3.0,2.0,1731.0,Amarillo,TX,79108
79108,"535 W Colorado Ave, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,139000.0,2.0,2.0,1442.0,Amarillo,TX,79108
79108,"5625 Irwin Rd, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,295000.0,4.0,3.0,2255.0,Amarillo,TX,79108
79108,"2405 Wapiti Ln, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,129500.0,3.0,2.0,1368.0,Amarillo,TX,79108
79108,"250 W Mobley St, Amarillo, TX 79108","Amarillo, TX 79108",Pending,250000.0,3.0,2.0,2500.0,Amarillo,TX,79108
79108,"504 506 W Cliffside, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,160000.0,,,1132.0,Amarillo,TX,79108
79108,"1702 Fox Hunt Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,265478.0,3.0,2.0,1694.0,Amarillo,TX,79108
79108,"110 Renegade Trl, Amarillo, TX 79108","Amarillo, TX 79108",Pending,189000.0,4.0,2.0,1479.0,Amarillo,TX,79108
79108,"5101 Cord St, Amarillo, TX 79108","Amarillo, TX 79108",Pending,115000.0,3.0,2.0,1056.0,Amarillo,TX,79108
79108,"8050 Tipton St, Amarillo, TX 79108","Amarillo, TX 79108",Pending,275000.0,4.0,2.0,2155.0,Amarillo,TX,79108
79108,"4025 N Loop # 335, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,914000.0,4.0,2.0,2235.0,Amarillo,TX,79108
79108,"112 Rustic Trl, Amarillo, TX 79108","Amarillo, TX 79108",Pending,239900.0,3.0,2.0,1875.0,Amarillo,TX,79108
79108,"1407 Heidi Ln, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,220000.0,4.0,2.0,2048.0,Amarillo,TX,79108
79108,"4221 Hilltop Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,195000.0,3.0,2.5,1911.0,Amarillo,TX,79108
79108,"1607 Fox Hunt Ave, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,262443.0,3.0,2.0,1790.0,Amarillo,TX,79108
79108,"737 E Bonita Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,245000.0,3.0,2.0,2270.0,Amarillo,TX,79108
79108,"7621 Loma Vista Dr, Amarillo, TX 79108","Amarillo, TX 79108",Pending,198000.0,3.0,2.0,1645.0,Amarillo,TX,79108
79108,"4050 Rose Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,178000.0,3.0,2.0,1396.0,Amarillo,TX,79108
79108,"1700 Fox Hunt Ave, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,259962.0,3.0,2.0,1584.0,Amarillo,TX,79108
79108,"1601 Fox Hunt Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,261950.0,4.0,2.0,1767.0,Amarillo,TX,79108
79108,"3800 N Parsley Rd, Amarillo, TX 79108","Amarillo, TX 79108",Pending,299900.0,3.0,2.0,1404.0,Amarillo,TX,79108
79108,"1800 Fox Hunt Ave, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,230976.0,3.0,2.0,1361.0,Amarillo,TX,79108
79108,"329 Hudson Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,210000.0,3.0,2.0,1757.0,Amarillo,TX,79108
79108,"5218 Slope Dr, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,185000.0,2.0,2.0,1676.0,Amarillo,TX,79108
79108,"4038 River Rd, Amarillo, TX 79108","Amarillo, TX 79108",Pending,130000.0,3.0,2.0,1202.0,Amarillo,TX,79108
79108,"1807 Fox Hollow Ave, Amarillo, TX 79108","Amarillo, TX 79108",Pending,259986.0,3.0,2.0,1722.0,Amarillo,TX,79108
44001,"61 Beech Cliff Dr, Amherst, OH 44001","Amherst, OH 44001",For Sale,455000.0,4.0,4.5,4660.0,Amherst,OH,44001
44001,"214 Charles St, South Amherst, OH 44001","South Amherst, OH 44001",For Sale,230000.0,3.0,2.0,2035.0,South Amherst,OH,44001
