Location,address,city,state,lat,lng,county_fips,county_name,zip
Seguin Plant,1200 W Kingsbury St,Seguin,Texas,29.53305,-97.93832,48187,Guadalupe,78155
Shelbyville Plant,901 W Jackson St,Shelbyville,Tennessee,35.46562,-86.48268,47003,Bedford,37160
Sherman Case Rdy Plant,4700 Hwy 75 South,Sherman,Texas,33.6054,-96.54657,48181,Grayson,75090
St Joseph Plant,5807 Mitchell Avenue,St Joseph,Missouri,39.73324,-94.75735,29021,Buchanan,64507
Storm Lake Plant,1009 Richland St,Storm Lake,Iowa,42.65777,-95.16391,19021,Buena Vista,50588
Storm Lake Turkey Plant,315 Vilas Rd,Storm Lake,Iowa,42.65777,-95.16391,19021,Buena Vista,50588
Tecumseh Plant,333 South 3rd,Tecumseh,Nebraska,40.36197,-96.22383,31097,Johnson,68450
Temperanceville Plant,11224 Lankford Hwy,Temperanceville,Virginia,37.90127,-75.56874,51001,Accomack,23442
Tyler Road Plant,620 Tyler Rd,Russellville,Arkansas,35.31334,-93.06726,05115,Pope,72802
Tyson of Rogers Plant,212 E Elm St,Rogers,Arkansas,36.32214,-93.9922,05007,Benton,72756
University of Arkansas Processing Plant,1495 W Knapp St,Fayetteville,Arkansas,36.10475,-94.29539,05143,Washington,72704
Vernon Plant,700 Wheeler Street,Vernon,Texas,34.14355,-99.32067,48487,Wilbarger,76384
Vienna Plant,1151 E Pine St,Vienna,Georgia,32.08984,-83.78304,13093,Dooly,31092
Vineland Plant,1585 W Forest Grove Rd,Vineland,New Jersey,39.49374,-75.00352,34011,Cumberland,08360
Waldron Plant,442 Plant Street,Waldron,Arkansas,34.90173,-94.14659,05127,Scott,72958
Warren Michigan Plant,25000 Guenther Rd,Warren,Michigan,42.4681,-83.05819,26099,Macomb,48091
Waterloo Plant,501 N Elk Run Rd,Waterloo,Iowa,42.54817,-92.28195,19013,Black Hawk,50703
Waterloo Pork Plant,501 N Elk Run Rd,Waterloo,Iowa,42.54817,-92.28195,19013,Black Hawk,50703
Waverly Plant,13151 Dovers Street,Waverly,Nebraska,40.94804,-96.52806,31109,Lancaster,68462
Wilkesboro Food Service Plant,706 Factory St,Wilkesboro,North Carolina,36.13666,-81.16317,37193,Wilkes,28697
Wilkesboro Fresh Plant,704 Factory St,Wilkesboro,North Carolina,36.13666,-81.16317,37193,Wilkes,28697
Wilkesboro Fresh Plant II,901 Wilkes St,Wilkesboro,North Carolina,36.13666,-81.16317,37193,Wilkes,28697
Willow Philly Enid Plant,4929 E Willow Rd,Enid,Oklahoma,36.42323,-97.78833,40047,Garfield,73701
Zeeland Plant,8300 96th Avenue,Zeeland,Michigan,42.84183,-85.98338,26139,Ottawa,49464
